0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z
-0.154815,0.748487,0.282003,-0.020385,0.631373,0.400596,-0.184735,0.487278,0.360031,-0.14831,0.819055,0.273938,0.097487,0.180635,0.354303,-0.185321,0.236181,0.299286,-0.1653655,1.1285725000000002,0.126774,0.13593,0.108476,0.28875,-0.211554,0.079542,0.221587,-0.15637,1.240131,0.11734,0.145421,0.052314,0.419038,-0.143813,0.053819,0.343933,-0.15204,1.211936,0.155235,-0.120173,1.169142,0.154704,-0.188573,1.174959,0.166012,-0.142828,1.343512,0.188129,0.001659,1.18276,0.145141,-0.303422,1.204243,0.198755,0.06249,1.002999,0.190925,-0.341196,1.020876,0.254077,0.0756965,0.786548,0.2627565,-0.355331,1.0082065,0.486136,-0.292822,0.985705,0.537698,-0.292822,0.985705,0.537698
-0.155581,0.748364,0.281178,-0.021495,0.630909,0.400482,-0.186574,0.487007,0.359095,-0.149128,0.818937,0.273125,0.097842,0.180662,0.354051,-0.186522,0.236074,0.298779,-0.16406500000000002,1.1287615,0.1257365,0.136641,0.108493,0.288719,-0.212323,0.079172,0.221466,-0.154705,1.240308,0.116519,0.145508,0.052359,0.419063,-0.144242,0.053947,0.343728,-0.151004,1.212079,0.154455,-0.119219,1.169221,0.154375,-0.18777,1.175168,0.164652,-0.142526,1.343613,0.187709,0.00274,1.182939,0.146774,-0.303098,1.204411,0.195706,0.062576,1.003101,0.19356,-0.342702,1.02107,0.249819,0.076054,0.787228,0.2655545,-0.359167,1.006541,0.4814425,-0.297473,0.983846,0.533892,-0.297473,0.983846,0.533892
-0.156652,0.748515,0.280371,-0.022912,0.630726,0.400543,-0.188262,0.48729,0.358251,-0.150107,0.819085,0.272361,0.096891,0.180643,0.353871,-0.187179,0.236433,0.298464,-0.1627655,1.129026,0.1247155,0.136114,0.10854,0.288721,-0.212379,0.079203,0.221621,-0.153198,1.240589,0.115914,0.145507,0.052522,0.419078,-0.144216,0.05396,0.343834,-0.150081,1.212263,0.153832,-0.118325,1.169385,0.154119,-0.187018,1.175352,0.163388,-0.142108,1.343824,0.187107,0.003733,1.183096,0.148305,-0.30284,1.204542,0.192598,0.062258,1.003136,0.196265,-0.342284,1.020607,0.244781,0.07565150000000001,0.7874125000000001,0.2680425,-0.3627305,1.0044395,0.47666949999999997,-0.301604,0.982219,0.52998,-0.301604,0.982219,0.52998
-0.157838,0.748763,0.279616,-0.024549,0.630589,0.400734,-0.189891,0.487772,0.357438,-0.151148,0.819324,0.271652,0.096252,0.180808,0.353675,-0.187917,0.23684,0.298018,-0.1615045,1.129317,0.12368199999999999,0.135504,0.108703,0.288544,-0.212441,0.079425,0.221335,-0.151842,1.240911,0.1154,0.145508,0.052672,0.41885,-0.144417,0.053999,0.343587,-0.149271,1.212458,0.153263,-0.117511,1.169586,0.153869,-0.186333,1.175506,0.162154,-0.141735,1.343959,0.186873,0.004623,1.183221,0.149712,-0.302641,1.204579,0.18949,0.061898,1.003161,0.198795,-0.342463,1.020231,0.239897,0.074695,0.7872195,0.270268,-0.366114,1.001967,0.4717695,-0.305443,0.980158,0.525766,-0.305443,0.980158,0.525766
-0.15925,0.749097,0.279069,-0.026125,0.63027,0.401062,-0.191526,0.488573,0.35662,-0.152251,0.819613,0.270968,0.095821,0.180872,0.353743,-0.188686,0.23753,0.297681,-0.16018100000000002,1.1296465,0.12265899999999999,0.135591,0.108836,0.288851,-0.212081,0.079981,0.220919,-0.150593,1.241285,0.114901,0.145264,0.05244,0.419024,-0.144486,0.054134,0.34332,-0.14851,1.212705,0.152697,-0.116688,1.169884,0.153605,-0.185631,1.17566,0.160934,-0.14151,1.344119,0.18676,0.005498,1.183478,0.151212,-0.302397,1.204583,0.18641,0.061375,1.003244,0.201256,-0.343724,1.020208,0.23549,0.07351350000000001,0.7867965,0.27244,-0.369355,0.9992595000000001,0.466837,-0.309143,0.977209,0.521248,-0.309143,0.977209,0.521248
-0.160223,0.749131,0.278055,-0.02756,0.629787,0.400799,-0.193194,0.488763,0.355825,-0.153147,0.819657,0.270108,0.095408,0.180799,0.353366,-0.189558,0.237488,0.297522,-0.1589595,1.130035,0.121612,0.135672,0.108809,0.288727,-0.21104,0.079921,0.22024,-0.149334,1.241702,0.114329,0.145148,0.052412,0.418914,-0.144264,0.054221,0.34312,-0.147766,1.213008,0.152065,-0.115932,1.170203,0.15329,-0.184976,1.175916,0.159664,-0.141437,1.34438,0.18642,0.006276,1.183794,0.152687,-0.302106,1.204715,0.183559,0.062262,1.003717,0.20317,-0.343707,1.019923,0.230807,0.0727395,0.786662,0.27496349999999997,-0.37246599999999996,0.9962960000000001,0.46194199999999996,-0.312811,0.973552,0.516679,-0.312811,0.973552,0.516679
-0.16057,0.74868,0.276703,-0.029122,0.629376,0.400605,-0.195006,0.488056,0.355041,-0.153702,0.81926,0.269066,0.095089,0.180725,0.352985,-0.190513,0.236588,0.297278,-0.15785,1.1303505,0.12053749999999999,0.135288,0.108753,0.288286,-0.209915,0.079041,0.219407,-0.148129,1.242039,0.113714,0.145082,0.052659,0.418581,-0.144004,0.054222,0.342934,-0.147069,1.213233,0.151382,-0.115255,1.170424,0.152911,-0.184378,1.17612,0.158371,-0.141499,1.344494,0.18629,0.006947,1.18404,0.154047,-0.30181,1.204807,0.18088,0.061596,1.003846,0.20557,-0.343281,1.01949,0.22614,0.071908,0.7870095,0.27736649999999996,-0.3754155,0.993096,0.457218,-0.316331,0.96962,0.512264,-0.316331,0.96962,0.512264
-0.160724,0.747772,0.275095,-0.030609,0.628942,0.400416,-0.196835,0.486831,0.354256,-0.154121,0.818435,0.268002,0.094725,0.180477,0.352882,-0.19138,0.235159,0.296811,-0.1567555,1.1305985,0.1195495,0.135462,0.108769,0.288226,-0.209588,0.077565,0.218749,-0.147064,1.242316,0.113196,0.145004,0.052718,0.418558,-0.144033,0.054091,0.342727,-0.146443,1.213394,0.150785,-0.114606,1.170612,0.152575,-0.183798,1.176223,0.157193,-0.141492,1.344555,0.186159,0.007569,1.184238,0.155291,-0.301528,1.204764,0.178284,0.060732,1.003877,0.207772,-0.343188,1.019112,0.221969,0.0707505,0.7872315000000001,0.27952849999999996,-0.37816700000000003,0.989739,0.452847,-0.319594,0.965547,0.508129,-0.319594,0.965547,0.508129
-0.161193,0.746731,0.273213,-0.031675,0.628374,0.39965,-0.198587,0.485724,0.353479,-0.154741,0.817488,0.266972,0.094841,0.18013,0.352738,-0.192121,0.233727,0.296293,-0.1556875,1.1307785,0.1185985,0.13606,0.108512,0.288289,-0.209561,0.076069,0.218185,-0.146083,1.242531,0.112724,0.144945,0.052617,0.418734,-0.144187,0.053964,0.342509,-0.145866,1.213487,0.150222,-0.113991,1.170744,0.152252,-0.183241,1.176242,0.156066,-0.141406,1.344601,0.185835,0.008142,1.18439,0.156398,-0.301259,1.204598,0.175754,0.060029,1.00388,0.209641,-0.343107,1.018705,0.218218,0.0692615,0.7873015,0.2813945,-0.38071299999999997,0.9861715,0.44894900000000004,-0.322403,0.96155,0.50432,-0.322403,0.96155,0.50432
-0.161381,0.745851,0.271298,-0.032768,0.628082,0.398875,-0.200242,0.484656,0.352753,-0.155198,0.816696,0.265832,0.094583,0.179951,0.352511,-0.192899,0.232351,0.295841,-0.154715,1.1309715,0.117633,0.13595,0.108396,0.288086,-0.209772,0.074616,0.217762,-0.145132,1.242748,0.112215,0.144932,0.052766,0.418638,-0.14441,0.053889,0.342331,-0.145309,1.213587,0.149623,-0.113426,1.170861,0.151872,-0.182717,1.176297,0.154935,-0.141276,1.344638,0.185515,0.008649,1.184562,0.157352,-0.300991,1.204451,0.173333,0.059544,1.003976,0.211289,-0.343276,1.018493,0.215077,0.0679705,0.7876135,0.2832295,-0.383043,0.9823355,0.44554099999999996,-0.324622,0.957847,0.500854,-0.324622,0.957847,0.500854
