0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z
-0.017692,0.770822,0.203501,0.123712,0.62323,0.282781,-0.123608,0.494488,0.26355,-0.016613,0.842113,0.201617,0.16591,0.181632,0.176335,-0.154533,0.249121,0.176704,-0.0176775,1.153557,0.0499415,0.183481,0.103261,0.109022,-0.153679,0.104118,0.075539,-0.004164,1.265042,0.04804,0.212113,0.049028,0.237311,-0.204578,0.054278,0.198601,-0.006602,1.23489,0.084573,0.023732,1.191043,0.086661,-0.045402,1.198784,0.087569,-0.011819,1.357878,0.142242,0.145577,1.205484,0.094736,-0.162293,1.234957,0.09973,0.136541,1.015896,0.049066,-0.196262,1.044076,0.122564,0.22651549999999998,0.7968900000000001,0.1799645,-0.290876,0.8262725,0.19490849999999998,-0.319763,0.758939,0.153629,-0.319763,0.758939,0.153629
-0.021867,0.77123,0.203877,0.122362,0.624699,0.280562,-0.124038,0.494346,0.266078,-0.021148,0.842527,0.202041,0.162233,0.182492,0.176608,-0.154873,0.248561,0.17808,-0.026166,1.1527655,0.050663,0.175595,0.103176,0.109435,-0.154182,0.104337,0.075806,-0.012768,1.264238,0.047569,0.213706,0.049291,0.235384,-0.20467,0.054048,0.198856,-0.014638,1.234411,0.084401,0.015757,1.190603,0.086427,-0.053361,1.198308,0.088296,-0.019002,1.357495,0.141935,0.137633,1.205499,0.093092,-0.170145,1.234525,0.101329,0.130923,1.015048,0.050732,-0.199984,1.042436,0.119284,0.2227805,0.799134,0.1882775,-0.2938965,0.8244095,0.193775,-0.322282,0.757324,0.15175,-0.322282,0.757324,0.15175
-0.025157,0.771387,0.204001,0.121108,0.625074,0.277629,-0.124961,0.494088,0.267577,-0.024691,0.842689,0.202293,0.158572,0.182913,0.176444,-0.155235,0.248095,0.178946,-0.03387,1.1520675,0.0513695,0.166627,0.102102,0.110213,-0.1547,0.104354,0.075993,-0.020621,1.263527,0.047325,0.214832,0.049762,0.233323,-0.204788,0.053926,0.199149,-0.021961,1.233954,0.084384,0.0085,1.190188,0.086298,-0.060594,1.197846,0.089055,-0.025563,1.356901,0.142262,0.130417,1.205304,0.091551,-0.177309,1.234063,0.102681,0.12647,1.014081,0.052448,-0.203481,1.040992,0.11491,0.21976,0.802325,0.19685750000000002,-0.29737800000000003,0.8236815,0.1942005,-0.324307,0.755682,0.15269,-0.324307,0.755682,0.15269
-0.027864,0.771155,0.203961,0.119864,0.624764,0.274963,-0.125871,0.493664,0.268508,-0.027473,0.842459,0.202343,0.155878,0.182846,0.17646,-0.155957,0.247591,0.179322,-0.0404405,1.151258,0.0519,0.159635,0.100598,0.111629,-0.15574,0.104261,0.075797,-0.027318,1.262695,0.046905,0.215456,0.049992,0.23222,-0.205026,0.053908,0.199306,-0.0282,1.233385,0.084187,0.002313,1.189652,0.086052,-0.06675,1.197287,0.089571,-0.031082,1.356134,0.142526,0.124237,1.205054,0.090173,-0.183477,1.233301,0.103632,0.122971,1.013182,0.054197,-0.206827,1.039576,0.109667,0.21711350000000001,0.8056595,0.2053795,-0.2999325,0.822371,0.1960885,-0.326359,0.753745,0.155294,-0.326359,0.753745,0.155294
-0.030212,0.770733,0.203778,0.118703,0.624231,0.272803,-0.12695,0.49312,0.268305,-0.02974,0.842038,0.202198,0.154922,0.182652,0.176177,-0.156345,0.247332,0.179314,-0.04589700000000001,1.150074,0.05241,0.156359,0.09943,0.112508,-0.156539,0.103985,0.075813,-0.032698,1.261441,0.046215,0.215719,0.049997,0.231889,-0.205244,0.053749,0.1996,-0.033259,1.232494,0.083785,-0.002779,1.188745,0.085783,-0.071796,1.196496,0.089882,-0.036315,1.355101,0.142029,0.119117,1.204583,0.088999,-0.188605,1.232142,0.104198,0.120175,1.012175,0.055997,-0.210437,1.038147,0.104586,0.214591,0.8085450000000001,0.213588,-0.30201900000000004,0.8208955,0.19945649999999998,-0.328369,0.751758,0.159483,-0.328369,0.751758,0.159483
-0.032018,0.770332,0.203253,0.117788,0.62413,0.271471,-0.127937,0.49262,0.267616,-0.031459,0.84164,0.201845,0.155245,0.182552,0.175648,-0.156631,0.247114,0.179023,-0.05028149999999999,1.1485905,0.052975,0.15643,0.099096,0.11228,-0.156936,0.103618,0.075727,-0.036862,1.25984,0.045314,0.216027,0.049926,0.231652,-0.20531,0.053713,0.199778,-0.037218,1.231357,0.083241,-0.006829,1.187561,0.085556,-0.075796,1.195533,0.09006,-0.040187,1.353979,0.141356,0.115018,1.203902,0.088028,-0.192757,1.230658,0.104422,0.117925,1.011036,0.05794,-0.214227,1.03666,0.100548,0.2124635,0.811015,0.221192,-0.303697,0.819518,0.20419500000000002,-0.329957,0.749839,0.165112,-0.329957,0.749839,0.165112
-0.033169,0.769891,0.202469,0.117538,0.62409,0.270331,-0.128137,0.492218,0.26721,-0.032519,0.841202,0.201241,0.155959,0.182339,0.174699,-0.156667,0.246694,0.178897,-0.053665500000000005,1.1469755,0.0536585,0.158163,0.099094,0.111081,-0.157255,0.103152,0.075667,-0.040014,1.258075,0.044399,0.216375,0.049879,0.231116,-0.205379,0.05363,0.199968,-0.04023,1.230116,0.082713,-0.009936,1.186278,0.085461,-0.078857,1.194487,0.090237,-0.043324,1.352848,0.140728,0.111857,1.203105,0.087229,-0.196014,1.228973,0.104549,0.116007,1.009833,0.060038,-0.217761,1.035084,0.097829,0.210475,0.8130275,0.2277205,-0.3046575,0.8181775,0.21006550000000002,-0.330776,0.747907,0.17196,-0.330776,0.747907,0.17196
-0.033501,0.769606,0.201468,0.117625,0.623924,0.269046,-0.127825,0.492006,0.266846,-0.03282,0.840919,0.200424,0.156587,0.182219,0.173401,-0.156359,0.246258,0.178739,-0.0561245,1.145451,0.0544265,0.160074,0.099205,0.10954,-0.157422,0.102745,0.075473,-0.042423,1.256411,0.043692,0.21666,0.050003,0.230354,-0.205379,0.053673,0.200017,-0.042484,1.228942,0.08236,-0.012215,1.185115,0.085524,-0.081106,1.193446,0.090514,-0.045677,1.351858,0.140277,0.109528,1.202371,0.086472,-0.198469,1.227242,0.104782,0.114302,1.008721,0.062225,-0.220767,1.033477,0.09648,0.208818,0.814748,0.232953,-0.304659,0.8170025,0.216867,-0.330566,0.746054,0.17989,-0.330566,0.746054,0.17989
-0.033233,0.769605,0.200288,0.117809,0.623693,0.267604,-0.127455,0.492141,0.266442,-0.032537,0.840921,0.199453,0.157025,0.182317,0.172254,-0.155416,0.245993,0.178472,-0.0577435,1.1443035,0.055287,0.160903,0.099178,0.108578,-0.157304,0.102584,0.075072,-0.044438,1.255192,0.043378,0.21675,0.050075,0.229776,-0.205305,0.053879,0.199743,-0.044225,1.228111,0.082318,-0.013805,1.18441,0.085771,-0.082697,1.192581,0.091017,-0.047417,1.351057,0.139826,0.107896,1.201974,0.085929,-0.200235,1.225757,0.105294,0.112816,1.008014,0.064334,-0.223075,1.032062,0.096829,0.207457,0.8162739999999999,0.2368445,-0.3036005,0.816233,0.22438550000000002,-0.329282,0.744529,0.188732,-0.329282,0.744529,0.188732
-0.03267,0.769778,0.199098,0.118021,0.623449,0.266301,-0.127336,0.492531,0.265896,-0.03192,0.841095,0.198404,0.157205,0.18246,0.171686,-0.154368,0.246008,0.178167,-0.058483,1.143163,0.056278499999999995,0.160554,0.098881,0.10856,-0.156646,0.102561,0.074828,-0.045551,1.253965,0.043209,0.216692,0.05007,0.229742,-0.205066,0.054233,0.199484,-0.045119,1.227278,0.082418,-0.014557,1.183704,0.086201,-0.083453,1.191723,0.09161,-0.048606,1.350386,0.139617,0.107056,1.201861,0.085611,-0.201115,1.224394,0.106036,0.11168,1.007674,0.066093,-0.224635,1.030748,0.098372,0.20669300000000002,0.8177595,0.23931399999999997,-0.30147100000000004,0.8159285000000001,0.2323695,-0.327065,0.74347,0.198208,-0.327065,0.74347,0.198208
